Resource ID,Resource Name,Resource URL,Description,Archived,Format,Type,Runtime,Subject Areas,Authoring Organization,Intended Audiences,Record Modified,Resource Revised
L000785112,Advanced Workshop on SRA and dbGaP Data Analysis,https://www.youtube.com/watch?v=iCYq0eqpP-U&feature=youtu.be,"This webinar is intended for advanced users of SRA and dbGaP who have experience with RNA-Seq analysis, variant calling or metagenomic data and want to work with large genomic datasets, use cloud computing for analyzing genomic datasets and perform parallel work on genomic datasets. You will learn how to call variants from SRA and dbGaP with GATK, realign reads with HISAT2, view expression levels and variants, search SRA data rapidly, integrate with Spark and mount dbGaP to an EBS volume. You can follow this workshop in real time by using a preconfigured AMI: VDB-2.5.8.3 - ami-774d781d.",false,MP4 Video,YouTube Video,47,Terminology; Data Management; Data Science,"Training Team, NCBI",User,11/14/2018 12:00:00 AM,04/05/2016 12:00:00 AM
L003352112,Against the Odds: Making a Difference in Global Health - Lesson Plans,https://www.nlm.nih.gov/exhibition/againsttheodds/online_activities/index.html,"Against the Odds presents the following instructional resources for middle- and high-school students and educators. Use them to discover stories of people and places featured in the exhibition. And explore how you, too, can Get Involved in improving health for all.",false,HTML,Site,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,09/30/2022 12:00:00 AM
L003981112,All of Us Researcher Workbench webinar for academic libraries,https://www.nlm.nih.gov/oet/ed/aou/2023/love_data_week.html,"The All of Us Research Program is a key component of the Precision Medicine Initiative, which aspires to leverage advances in genomics and health information technology to accelerate biomedical discoveries.   The webinar will cover the basics of the All of Us Research Program, and the All of Us Researcher Workbench, a cloud-based research platform that the All of Us Research Program has created, where individuals can apply for access to the data, and once approved as Authorized Data Users, create project-specific Workspaces in which to access and analyze the data. Topics will include the data available, how to expand access to your campus community, and the available training resources. Search for your institution online to find out if your institution already has access and use the All of Us Research Program dataset through the All of Us Researcher Workbench. If you do not have access at your institution, this webinar will instruct how your institution can get free access to the Workbench and provide resources to help you get access.",false,HTML,Webinar Source Page,43,Population Groups; Data Science,Network of the National Library of Medicine,User; Trainer,03/07/2023 12:00:00 AM,03/06/2023 12:00:00 AM
L000939112,An Introduction to Evidence Based Practice: A Librarian's Guide - 1 - Introduction to EBP and PICO,https://youtu.be/UxVFfSrx1Sc,"After completing this webinar, participants should be able to:-Explain the importance and steps of evidence-based practice-Identify the role of the librarian in teaching, practicing, and supporting evidence-based practice-Formulate a clinical question based on the scope of the requestor's problem, PICO, and question type",false,MP4 Video,Webinar,55,PubMed,Network of the National Library of Medicine,User,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L000938112,An Introduction to Evidence Based Practice: A Librarian's Guide - 2 - Searching,https://youtu.be/anbTseIKrmw,"After completing this class, participants should be able to:-Locate background and foreground information-Develop effective search strategies in order to find relevant evidence",false,MP4 Video,Webinar,61,PubMed,Network of the National Library of Medicine,User,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L000937112,An Introduction to Evidence Based Practice: A Librarian's Guide - 3 - Appraisal and Application,https://youtu.be/kC-QDYR9E1I,"After completing this class, participants should be able to:-Describe study designs and the hierarchy of evidence-Choose appropriate study design based on question type-Apply descriptive and inferential statistics to understand research findings studies",false,MP4 Video,Webinar,52,PubMed,Network of the National Library of Medicine,User,05/28/2020 12:00:00 AM,03/15/2019 12:00:00 AM
L003201112,An Introduction to NCBI Cloud Computing for Biologists,https://www.nlm.nih.gov/oet/ed/ncbi/2022_07_cloud.html,"In this workshop, you will get hands-on experience with the AWS cloud environment using a combination of web-based and Linux command-line tools. his workshop is designed for experimental biologists without cloud computing experience.",false,HTML,Webinar Source Page,141,Genetics and Molecular Biology; Other; NCBI Workshops,"Training Team, NCBI",User,08/01/2022 12:00:00 AM,08/01/2022 12:00:00 AM
L002806112,An Introduction to NCBI Cloud Computing for Biologists,https://www.nlm.nih.gov/oet/ed/ncbi/2021_11_cloud.html,"On November 16, 2021, the NCBI Education Team provided a workshop on NCBI Cloud Computing for Biologists. Training materials from this event are available on this page.  As DNA sequencing becomes a commonplace tool in biological research, the need for accessible, scalable, and secure computational environments to process this deluge of data is growing. NCBI has partnered with leading cloud computing providers to provide tools and data to this growing industry. This workshop is designed for experimental biologists without cloud computing experience. While not required, it is most useful for researchers who do sequence-based research and who have some familiarity interacting with a Linux command-line.",false,HTML,Webinar Source Page,180,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User,02/18/2022 12:00:00 AM,11/16/2021 12:00:00 AM
L002901112,An Introduction to NCBI Cloud Computing for Virologists,https://www.nlm.nih.gov/oet/ed/ncbi/2022_02_cloud.html,This workshop is designed for virologists without cloud computing experience.,false,HTML,Webinar Source Page,171,Other; NCBI Workshops,"Training Team, NCBI",User; Trainer,03/14/2022 12:00:00 AM,03/14/2022 12:00:00 AM
L004461112,An Introduction to Pathogen Data at NCBI,https://www.nlm.nih.gov/ncbi/workshops/2023-07_intro-to-pathogen-data/workshop-details.html,"Over the years, NCBI has collected a vast amount of sequence information including from organisms considered pathogenic to others, including certain viruses, bacteria and fungi.  With all of the databases and tools available at NCBI, it is sometimes daunting to know where to start looking for and find data of interest. This workshop is for those interested in microbial or pathogen research and who are new to or would like a more structured way to find relevant data on the NCBI website.",false,HTML,Webinar Source Page,115,Genetics and Molecular Biology; Data Science; NCBI Workshops,"Training Team, NCBI",User; Trainer,08/25/2023 12:00:00 AM,08/24/2023 12:00:00 AM
L003562112,An Introduction to PubChem for Life Scientists,https://www.nlm.nih.gov/ncbi/workshops/2022-11_intro-to-pubchem/workshop-details.html,"Scientists and educators from many different fields need to find and understand chemical data to perform their work. As such, understanding PubChem, the world’s largest collection of freely accessible chemical information, is a powerful skill for researchers, educators, clinicians, and more. In this workshop, participants will have access to NCBI experts and be introduced to the functionality of the PubChem Database.",false,HTML,Webinar Source Page,82,Drugs and Chemicals; PubChem,"Training Team, NCBI",User; Trainer,12/01/2022 12:00:00 AM,11/17/2022 12:00:00 AM
L004281112,An Introduction to PubChem for Life Scientists,https://www.nlm.nih.gov/ncbi/workshops/2023-06_intro-to-pubchem/workshop-details.html,"Scientists and educators from many different fields need to find and understand chemical data to perform their work. As such, understanding PubChem, the world’s largest collection of freely accessible chemical information, is a powerful skill for researchers, educators, clinicians, and more. In this workshop, participants will have access to NCBI experts and be introduced to the functionality of the PubChem Database.",false,HTML,Webinar Source Page,117,Drugs and Chemicals; PubChem,"Training Team, NCBI",User; Trainer,07/11/2023 12:00:00 AM,07/10/2023 12:00:00 AM
L002521112,"An Introduction to PubMed, PubMed Central and NCBI Accounts for Researchers",https://www.nlm.nih.gov/oet/ed/ncbi/2021_12_pubmed.html,"On December 16, 2021 the NCBI Education Team provided the workshop: An Introduction to PubMed, PubMed Central and NCBI Accounts for Researchers. Training materials from this event are available on this page.  PubMed has over 33 million citations in the areas of biomedicine and health, and related scientific fields. However, the volume of citations in this database can make it difficult for new searchers to find relevant citations and links to full-text articles to support research projects.  This workshop was designed to provide a guided experience for novice searchers as well as provide some tips on how to use an NCBI account to more effectively use PubMed.",false,HTML,Webinar Source Page,64,My NCBI; PubMed; PubMed Central; Public Access; NCBI Workshops,"Training Team, NCBI",User,05/17/2023 12:00:00 AM,12/16/2021 12:00:00 AM
L002804112,An NCBI Guide to Finding and Analyzing Metagenomic Data,https://www.nlm.nih.gov/oet/ed/ncbi/2021_10_meta.html,"This workshop is designed for researchers to gain hands-on experience with accessing and analyzing metagenomic data using the various relevant resources available on the NCBI website. Additionally, some exercises in this workshop will provide experience with a Jupyter Notebook for bash- and python-based accessing and processing of this metagenomic data.",false,HTML,Webinar Source Page,97,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User,02/18/2022 12:00:00 AM,10/26/2021 12:00:00 AM
L001401112,An Overview of NLM's Post-TOXNET Resources,https://players.brightcove.net/5527299009001/default_default/index.html?videoId=6146633966001,"This webinar describes where former users of TOXNET can now go for information. For example, overviews of where the databases are now located are provided by a “TOXNET Has Moved” web page and an NLM “TOXNET Update: New Locations for TOXNET Content” Technical Bulletin article. The rest of the webinar provides an overview and examples of the toxicology- and chemical safety-related information now available in PubChem. Key for former users of TOXNET is that Hazardous Substances Data Bank (HSDB) content now exists as data fields in PubChem substance records.",false,HTML,Webinar Source Page,60,Drugs and Chemicals; Toxicology,Office of Engagement and Training,User,03/20/2023 12:00:00 AM,04/02/2020 12:00:00 AM
L002808112,An Update on NCBI BLAST and Other Sequence Analysis Tools,https://www.nlm.nih.gov/oet/ed/ncbi/2022_01_blast.html,"On January 25, 2022, the NCBI Education Team provided the workshop: An Update on NCBI BLAST and Other Sequence Analysis Tools. Training materials from this event are available on this page.  This virtual workshop highlights new displays and features and introduces best practices for use of NCBI BLAST services. You will learn when and how to use important but often misunderstood aspects of the BLAST programs, specialized services, and databases. You will explore other important sequence analysis services, including Primer BLAST, an oligonucleotide primer designer and specificity checker, and COBALT, a multiple protein sequence alignment tool. Finally, you will see brief demonstrations of standalone BLAST and related tools, including SRA-Toolkit BLAST and Magic-BLAST.",false,HTML,Webinar Source Page,,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User,02/18/2022 12:00:00 AM,01/25/2022 12:00:00 AM
L002383112,"An Update to SciENcv, the Science Experts Network Curriculum Vitae",https://www.youtube.com/watch?v=eGyHX85DIcE,"A minor update incorporating changes made to the NIH biosketch format for submissions beginning on or after May 25, 2021",false,MP4 Video,YouTube Video,4,Other; SciENcv,"Training Team, NCBI",User; Trainer,09/13/2021 12:00:00 AM,08/17/2021 12:00:00 AM
L004061112,Analyze Evolutionary Relationships Between Two Genomes using NCBI's Comparative Genome Viewer (CGV),https://www.youtube.com/watch?v=_TA86Tu1N0c,"This is a tutorial showing how to use CGV to view assembly-assembly alignments, including cross-species alignments.  The Comparative Genome Viewer (CGV) became available in 2022 and continues to be updated and expanded.",false,MP4 Video,YouTube Video,6,Genetics and Molecular Biology,"Training Team, NCBI",User; Trainer,04/10/2023 12:00:00 AM,04/05/2023 12:00:00 AM
L003681112,Analyzing & Visualizing NextGen Reads with Magic-BLAST,https://www.nlm.nih.gov/ncbi/workshops/2022-12_ngs-analysis-viz/workshop-details.html,This workshop is designed for biologists experience with command-line who are interested in doing some preliminary analysis of their next-generation sequence data in comparison to a reference sequence with annotations.,false,HTML,Webinar Source Page,110,Genetics and Molecular Biology; NCBI Workshops,"Training Team, NCBI",User; Trainer,12/29/2022 12:00:00 AM,12/29/2022 12:00:00 AM
L003821112,Annotate CDS Features in a New mRNA Submission Wizard,https://www.youtube.com/watch?v=YfGSrykXfR0,This video introduces an NCBI Submission Portal web form to make it easier to annotate your eukaryotic nuclear mRNA coding sequences.,false,MP4 Video,YouTube Video,4,Genetics and Molecular Biology,"Training Team, NCBI",User; Trainer,01/23/2023 12:00:00 AM,01/18/2023 12:00:00 AM
L001821112,"BLAST Results: Expect Values, Part 1",https://youtu.be/ZN3RrXAe0uM,"This is a brief, basic discussion of Expect values in BLAST, the Basic Local Alignment Search Tool at NCBI, the National Center for Biotechnology Information.",false,MP4 Video,YouTube Video,3,Genetics and Molecular Biology; Bioinformatics,"Training Team, NCBI",User,10/02/2020 12:00:00 AM,07/30/2020 12:00:00 AM
L001822112,"BLAST Results: Expect Values, Part 2",https://www.youtube.com/watch?v=dzRq-5BrGD4,"This is a brief, basic discussion of Expect values in BLAST, the Basic Local Alignment Search Tool at NCBI, the National Center for Biotechnology Information.",false,MP4 Video,YouTube Video,4,Genetics and Molecular Biology; Bioinformatics,"Training Team, NCBI",User,10/02/2020 12:00:00 AM,07/30/2020 12:00:00 AM
L003230112,Basic Local Alignment Search Tool (BLAST),https://www.nnlm.gov/Brd3m,"A resource that finds regions of similarity between biological sequences. This brief guide to BLAST is designed to quickly orient people who do outreach and training about the resource: Who uses it, for what, and how. The guide also includes teaching examples and alternative resources.",false,PDF,Document,,Other; Bioinformatics,Network of the National Library of Medicine,Trainer,09/12/2023 12:00:00 AM,08/12/2022 12:00:00 AM
L002681112,Beta ClinicalTrials.gov Website Tour - 2021 December,https://www.nlm.nih.gov/oet/ed/ct/2021_beta.html,Take a tour of the first beta release of the ClinicalTrials.gov modernization effort.,false,MP4 Video,Webinar,40,ClinicalTrials.gov,"ClinicalTrials.gov Team, NCBI",User; Trainer,05/12/2023 12:00:00 AM,12/07/2021 12:00:00 AM
L001663112,Beyond an Apple a Day: Providing Consumer Health Information at Your Library,https://www.nnlm.gov/training/class-catalog/beyond-apple-day-providing-consumer-health-information-your-library,"This hands-on class will cover the health information seeking behavior of consumers and the role of the librarian in the provision of health information for the public. Come learn about the evolution of consumer health, health literacy and the e-patient.",false,HTML,On-Demand Course,240,MedlinePlus; Consumer Health,Network of the National Library of Medicine,User,10/21/2022 12:00:00 AM,02/21/2022 12:00:00 AM
L003368112,"Binding Wounds, Pushing Boundaries: African Americans in Civil War Medicine - Lesson Plans",https://www.nlm.nih.gov/exhibition/bindingwounds/education/lessonplans.html,Binding Wounds and Pushing Boundaries presents the following instructional resources for educators in K-12 as well as in higher education institutions. The resources provide examples of how the rich content and primary sources in the exhibition can be used in a classroom. They are developed as instructional suggestions that an educator may adapt in whole or in parts as she or he deems most appropriate for the students' interest and academic goals.,false,HTML,Page,,K-12 Education; History of Medicine,History of Medicine,User; Trainer,09/30/2022 12:00:00 AM,07/15/2013 12:00:00 AM
L002341112,"Bioinformatics and Biology Essentials for Librarians: Databases, Tools, and Clinical Applications",https://www.nnlm.gov/training/class-catalog/bioinformatics-and-biology-essentials-librarians-databases-tools-and,Self-paced class that reviews basic biology concepts and takes a deep dive into NCBI Molecular Biology Databases.,false,HTML,On-Demand Course,,Genetics and Molecular Biology; Bioinformatics,Network of the National Library of Medicine,User; Trainer,06/13/2023 12:00:00 AM,01/17/2023 12:00:00 AM
L002361112,Building Reference Skills for Nursing and Allied Health Research,https://www.nnlm.gov/training/class-catalog/building-reference-skills-nursing-and-allied-health-research,"Provides an introduction to the professions of nursing and allied health, and explores NLM databases used by health professionals such as PubMed, LactMed, MedlinePlus and DailyMed.",false,HTML,On-Demand Course,,Consumer Health,Network of the National Library of Medicine,User; Trainer,10/21/2022 12:00:00 AM,08/24/2021 12:00:00 AM
L001801112,Building trust in preprints: recommendations for servers and other stakeholders,https://osf.io/8dn4w/,"On January 20 and 21, 2020, ASAPbio, in collaboration with EMBL-EBI and Ithaka S+R, convened over 30 representatives from academia, preprint servers, publishers, funders, and standards, indexing and metadata infrastructure organisations at EMBL-EBI (Hinxton, UK) to develop a series of recommendations for best practices for posting and linking of preprints in the life sciences and ideally the broader research community. We hope that these recommendations offer guidance for new preprint platforms and projects looking to enact best practices and ultimately serve to improve the experience of using preprints for all",false,HTML,Page,,PubMed Central; Preprints,External Organization,User,01/25/2023 12:00:00 AM,07/21/2020 12:00:00 AM
L003664112,Búsqueda por tema en PubMed: Cómo funciona | PubMed Subject Search: How it Works (Spanish),https://www.youtube.com/watch?v=cYzsjSexwgQ,Cómo funciona PubMed.,false,MP4 Video,YouTube Video,4,PubMed,Office of Engagement and Training,User; Trainer,12/27/2022 12:00:00 AM,12/22/2022 12:00:00 AM
L003705112,Care and Custody: Past Responses to Mental Health - Mental Health and Incarceration - Lesson Plan,https://www.nlm.nih.gov/exhibition/careandcustody/education-highered1.html,"In 2020, some of the largest mental health providers in the United States operate in prisons and jails. In this module, university students explore the historic roots of this issue by examining scholarly publications and historic documents. In particular, students learn about how reformers, physicians, and advocates have addressed the incarceration of people with mental health conditions over the past 200 years and have struggled to protect civil rights of people with mental health conditions and create a more inclusive society.These four classes provide readings, discussion questions, and activities to encourage students to consider new perspectives on mental health policy making from the past and the present.",false,HTML,Page,,History of Medicine,History of Medicine,User; Trainer,01/03/2023 12:00:00 AM,01/03/2023 12:00:00 AM
L001664112,Caring for the Mind: Providing Mental Health Information At Your Library,https://www.nnlm.gov/training/class-catalog/providing-mental-health-information-your-library,participants will learn how to effectively provide mental health information at their libraries. Participants will learn about the best electronic resources to consult as well as ways to improve their print collections. Best approaches for handling interactions with emotional patrons will also be discussed.,false,HTML,On-Demand Course,60,MedlinePlus; Consumer Health,Network of the National Library of Medicine,Trainer,09/18/2023 12:00:00 AM,11/09/2021 12:00:00 AM
L00181080,Cataloging and Metadata Management: Using Medical Subject Headings (MeSH) in Cataloging,https://www.nlm.nih.gov/tsd/cataloging/trainingcourses/mesh/intro_010.html,An 8-module training course on cataloging with MeSH.,false,MP4 Video,Quick Tour,,Medical Subject Headings (MeSH),"Cataloging and Metadata Management Section, LO/TSD",User,02/09/2021 12:00:00 AM,12/13/2017 12:00:00 AM
L004561112,Cataloging with Medical Subject Headings (MeSH),https://www.nlm.nih.gov/oet/ed/mesh/2023/9-29_mesh-cataloging.html,"On September 26, 2023, Sharon Willis, Senior Cataloging Specialist at the U.S. National Library of Medicine, taught Cataloging with Medical Subject Headings (MeSH). This webinar explores the use of the Medical Subject Headings (MeSH) in the cataloging environment.",false,HTML,Webinar Source Page,86,Medical Subject Headings (MeSH),Office of Engagement and Training,User; Trainer,10/23/2023 12:00:00 AM,10/20/2023 12:00:00 AM
